"state","candidate_name","pollster_rating_name","predicted_pct"
"Arizona","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.865752681913
"Arizona","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.5221217649026
"Arizona","Cornel West","Fabrizio, Lee & Associates/GBAO",0.201303800723521
"Arizona","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.17685441622545
"Arizona","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.438310662380746
"Arizona","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.375919993741736
"Arizona","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.888933364481
"Arizona","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.2802732305551
"Georgia","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.9109328477759
"Georgia","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.4252849588307
"Georgia","Cornel West","Fabrizio, Lee & Associates/GBAO",0.228912391415339
"Georgia","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.38052335536478
"Georgia","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.295207348995464
"Georgia","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.268023945949516
"Georgia","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.8938052415663
"Georgia","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.3309364301773
"Michigan","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.937494104793
"Michigan","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.3815624813691
"Michigan","Cornel West","Fabrizio, Lee & Associates/GBAO",0.176286736448159
"Michigan","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.20078766961812
"Michigan","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.408460036859519
"Michigan","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.231509894806919
"Michigan","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.9861461904203
"Michigan","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.2963218185597
"North Carolina","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.9698798697206
"North Carolina","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.5259852559826
"North Carolina","Cornel West","Fabrizio, Lee & Associates/GBAO",0.196601783616516
"North Carolina","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.38908376605622
"North Carolina","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.42742872380942
"North Carolina","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.167749385211879
"North Carolina","Kamala Harris","Fabrizio, Lee & Associates/GBAO",46.0560142274821
"North Carolina","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.4076916363731
"Nevada","Kamala Harris","Fabrizio, Lee & Associates/GBAO",45.8341350017911
"Nevada","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.5125038347575
"Nevada","Cornel West","Fabrizio, Lee & Associates/GBAO",0.13464115631976
"Nevada","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.32767327871899
"Nevada","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.38045407784181
"Nevada","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.341140085900695
"Nevada","Kamala Harris","Fabrizio, Lee & Associates/GBAO",46.1251191098825
"Nevada","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.4955267080154
"Pennsylvania","Kamala Harris","Fabrizio, Lee & Associates/GBAO",46.0376158091983
"Pennsylvania","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.4537563691051
"Pennsylvania","Cornel West","Fabrizio, Lee & Associates/GBAO",0.257107176271846
"Pennsylvania","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.45414109562327
"Pennsylvania","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.496533176755955
"Pennsylvania","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.395845417127485
"Pennsylvania","Kamala Harris","Fabrizio, Lee & Associates/GBAO",46.0710345112271
